username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,85700,https://github/jlevy/the-art-of-command-line
nvm-sh,nvm,48300,https://github/nvm-sh/nvm
junegunn,fzf,36300,https://github/junegunn/fzf
dylanaraps,pure-bash-bible,26900,https://github/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26300,https://github/mathiasbynens/dotfiles
koalaman,shellcheck,24400,https://github/koalaman/shellcheck
acmesh-official,acme.sh,22000,https://github/acmesh-official/acme.sh
alebcay,awesome-shell,21200,https://github/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,18400,https://github/LeCoupa/awesome-cheatsheets
starship,starship,16300,https://github/starship/starship
jaywcjlove,linux-command,15800,https://github/jaywcjlove/linux-command
Nyr,openvpn-install,13200,https://github/Nyr/openvpn-install
powerline,powerline,12500,https://github/powerline/powerline
Bash-it,bash-it,12200,https://github/Bash-it/bash-it
shelljs,shelljs,11900,https://github/shelljs/shelljs
dylanaraps,neofetch,11400,https://github/dylanaraps/neofetch
faressoft,terminalizer,11200,https://github/faressoft/terminalizer
jessfraz,dockerfiles,10900,https://github/jessfraz/dockerfiles
denisidoro,navi,9000,https://github/denisidoro/navi
rgcr,m-cli,8400,https://github/rgcr/m-cli
alexanderepstein,Bash-Snippets,8300,https://github/alexanderepstein/Bash-Snippets
codota,TabNine,8100,https://github/codota/TabNine
kanaka,mal,7700,https://github/kanaka/mal
direnv,direnv,7400,https://github/direnv/direnv
skywind3000,awesome-cheatsheets,7100,https://github/skywind3000/awesome-cheatsheets
angristan,openvpn-install,6200,https://github/angristan/openvpn-install
enquirer,enquirer,5900,https://github/enquirer/enquirer
Mayccoll,Gogh,5800,https://github/Mayccoll/Gogh
webpro,awesome-dotfiles,5700,https://github/webpro/awesome-dotfiles
b-ryan,powerline-shell,5600,https://github/b-ryan/powerline-shell
